timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1715850750.1816363,-0.79641765,0.006391581,-0.14314479,-0.79641765,0.006391581,-0.14314479
1715850750.1837778,-0.79641765,0.006391581,-0.14314479,-0.79641765,0.006391581,-0.14314479
1715850750.200389,-0.6504765,-0.047936857,-0.15273216,-0.6504765,-0.047936857,-0.15273216
1715850750.2198367,-0.28189537,-0.08415582,-0.26458484,-0.28189537,-0.08415582,-0.26458484
1715850750.2300403,-0.13595426,0.019174743,-0.3146522,-0.13595426,0.019174743,-0.3146522
1715850750.2326026,-0.13595426,0.019174743,-0.3146522,-0.13595426,0.019174743,-0.3146522
1715850750.2348483,-0.13595426,0.019174743,-0.3146522,-0.13595426,0.019174743,-0.3146522
1715850750.2369099,-0.13595426,0.019174743,-0.3146522,-0.13595426,0.019174743,-0.3146522
1715850750.239117,-0.13595426,0.019174743,-0.3146522,-0.13595426,0.019174743,-0.3146522
1715850750.2412395,-0.13595426,0.019174743,-0.3146522,-0.13595426,0.019174743,-0.3146522
1715850750.2434154,-0.13595426,0.019174743,-0.3146522,-0.13595426,0.019174743,-0.3146522
1715850750.2454593,-0.13595426,0.019174743,-0.3146522,-0.13595426,0.019174743,-0.3146522
1715850750.2474494,-0.13595426,0.019174743,-0.3146522,-0.13595426,0.019174743,-0.3146522
1715850750.2501447,-0.13595426,0.019174743,-0.3146522,-0.13595426,0.019174743,-0.3146522
1715850750.2524042,-0.13595426,0.019174743,-0.3146522,-0.13595426,0.019174743,-0.3146522
1715850750.2545815,-0.13595426,0.019174743,-0.3146522,-0.13595426,0.019174743,-0.3146522
1715850750.2565799,-0.13595426,0.019174743,-0.3146522,-0.13595426,0.019174743,-0.3146522
1715850750.2709608,0.02916159,0.014913689,-0.17829849,0.02916159,0.014913689,-0.17829849
1715850750.2759533,0.112252146,0.088416874,-0.24434482,0.112252146,0.088416874,-0.24434482
1715850750.2781782,0.112252146,0.088416874,-0.24434482,0.112252146,0.088416874,-0.24434482
1715850750.2804017,0.112252146,0.088416874,-0.24434482,0.112252146,0.088416874,-0.24434482
1715850750.2824218,0.112252146,0.088416874,-0.24434482,0.112252146,0.088416874,-0.24434482
1715850750.2868633,0.15060163,0.17470321,-0.34661013,0.15060163,0.17470321,-0.34661013
1715850750.289086,0.15060163,0.17470321,-0.34661013,0.15060163,0.17470321,-0.34661013
1715850750.291297,0.15060163,0.17470321,-0.34661013,0.15060163,0.17470321,-0.34661013
1715850750.2936375,0.15060163,0.17470321,-0.34661013,0.15060163,0.17470321,-0.34661013
1715850750.295682,0.15060163,0.17470321,-0.34661013,0.15060163,0.17470321,-0.34661013
1715850750.2976806,0.15060163,0.17470321,-0.34661013,0.15060163,0.17470321,-0.34661013
1715850750.3029606,0.15273216,0.2364885,-0.4605933,0.15273216,0.2364885,-0.4605933
1715850750.3084807,0.090946876,0.2801643,-0.56711966,0.090946876,0.2801643,-0.56711966
1715850750.3111033,0.090946876,0.2801643,-0.56711966,0.090946876,0.2801643,-0.56711966
1715850750.3131576,0.090946876,0.2801643,-0.56711966,0.090946876,0.2801643,-0.56711966
1715850750.3151596,0.090946876,0.2801643,-0.56711966,0.090946876,0.2801643,-0.56711966
1715850750.3175042,0.090946876,0.2801643,-0.56711966,0.090946876,0.2801643,-0.56711966
1715850750.3196967,0.090946876,0.2801643,-0.56711966,0.090946876,0.2801643,-0.56711966
1715850750.3218844,0.090946876,0.2801643,-0.56711966,0.090946876,0.2801643,-0.56711966
1715850750.3239052,0.090946876,0.2801643,-0.56711966,0.090946876,0.2801643,-0.56711966
1715850750.3258517,0.090946876,0.2801643,-0.56711966,0.090946876,0.2801643,-0.56711966
1715850750.3282137,0.090946876,0.2801643,-0.56711966,0.090946876,0.2801643,-0.56711966
1715850750.3303416,0.090946876,0.2801643,-0.56711966,0.090946876,0.2801643,-0.56711966
1715850750.3325722,0.090946876,0.2801643,-0.56711966,0.090946876,0.2801643,-0.56711966
1715850750.3346076,0.090946876,0.2801643,-0.56711966,0.090946876,0.2801643,-0.56711966
1715850750.3366418,0.090946876,0.2801643,-0.56711966,0.090946876,0.2801643,-0.56711966
1715850750.3388555,0.090946876,0.2801643,-0.56711966,0.090946876,0.2801643,-0.56711966
1715850750.3409705,0.090946876,0.2801643,-0.56711966,0.090946876,0.2801643,-0.56711966
1715850750.3563836,-0.6014744,0.03621896,-0.6768418,-0.6014744,0.03621896,-0.6768418
1715850750.3620412,-0.69628286,0.002130527,-0.6640586,-0.69628286,0.002130527,-0.6640586
1715850750.364236,-0.69628286,0.002130527,-0.6640586,-0.69628286,0.002130527,-0.6640586
1715850750.3697712,-0.7101313,-0.012783162,-0.66725445,-0.7101313,-0.012783162,-0.66725445
1715850750.3748612,-0.6728471,-0.0031957906,-0.6821681,-0.6728471,-0.0031957906,-0.6821681
